datetime,Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo,year,month,day,hour,datetime.1,datetime
2019-09-20,2019-09-20,22:00:00,UM Alto Alegre - Móvel,CE03,MP10,116.0,ug/m3,automatico,2019,9,20,22,,2019-09-20 22:00:00
2019-09-21,2019-09-21,13:00:00,UM Alto Alegre - Móvel,CE03,MP10,116.0,ug/m3,automatico,2019,9,21,13,,2019-09-21 13:00:00
2019-09-21,2019-09-21,14:00:00,UM Alto Alegre - Móvel,CE03,MP10,116.0,ug/m3,automatico,2019,9,21,14,,2019-09-21 14:00:00
2019-09-22,2019-09-22,06:00:00,UM Alto Alegre - Móvel,CE03,MP10,116.0,ug/m3,automatico,2019,9,22,06,,2019-09-22 06:00:00
2019-09-14,2019-09-14,11:00:00,UM Alto Alegre - Móvel,CE03,MP10,115.0,ug/m3,automatico,2019,9,14,11,,2019-09-14 11:00:00
2019-09-14,2019-09-14,17:00:00,UM Alto Alegre - Móvel,CE03,MP10,115.0,ug/m3,automatico,2019,9,14,17,,2019-09-14 17:00:00
2019-09-23,2019-09-23,15:00:00,UM Alto Alegre - Móvel,CE03,MP10,115.0,ug/m3,automatico,2019,9,23,15,,2019-09-23 15:00:00
2019-09-23,2019-09-23,23:00:00,UM Alto Alegre - Móvel,CE03,MP10,115.0,ug/m3,automatico,2019,9,23,23,,2019-09-23 23:00:00
2019-09-25,2019-09-25,22:00:00,UM Alto Alegre - Móvel,CE03,MP10,114.0,ug/m3,automatico,2019,9,25,22,,2019-09-25 22:00:00
2019-09-22,2019-09-22,18:00:00,UM Alto Alegre - Móvel,CE03,MP10,113.0,ug/m3,automatico,2019,9,22,18,,2019-09-22 18:00:00
2019-09-22,2019-09-22,21:00:00,UM Alto Alegre - Móvel,CE03,MP10,113.0,ug/m3,automatico,2019,9,22,21,,2019-09-22 21:00:00
2019-09-26,2019-09-26,13:00:00,UM Alto Alegre - Móvel,CE03,MP10,113.0,ug/m3,automatico,2019,9,26,13,,2019-09-26 13:00:00
2019-10-06,2019-10-06,12:00:00,UM Alto Alegre - Móvel,CE03,MP10,113.0,ug/m3,automatico,2019,10,6,12,,2019-10-06 12:00:00
2019-09-15,2019-09-15,16:00:00,UM Alto Alegre - Móvel,CE03,MP10,112.0,ug/m3,automatico,2019,9,15,16,,2019-09-15 16:00:00
2019-09-19,2019-09-19,19:00:00,UM Alto Alegre - Móvel,CE03,MP10,112.0,ug/m3,automatico,2019,9,19,19,,2019-09-19 19:00:00
2019-09-24,2019-09-24,19:00:00,UM Alto Alegre - Móvel,CE03,MP10,112.0,ug/m3,automatico,2019,9,24,19,,2019-09-24 19:00:00
2019-09-29,2019-09-29,13:00:00,UM Alto Alegre - Móvel,CE03,MP10,112.0,ug/m3,automatico,2019,9,29,13,,2019-09-29 13:00:00
2019-10-04,2019-10-04,23:00:00,UM Alto Alegre - Móvel,CE03,MP10,112.0,ug/m3,automatico,2019,10,4,23,,2019-10-04 23:00:00
2019-10-03,2019-10-03,23:00:00,UM Alto Alegre - Móvel,CE03,MP10,111.0,ug/m3,automatico,2019,10,3,23,,2019-10-03 23:00:00
2019-09-26,2019-09-26,11:00:00,UM Alto Alegre - Móvel,CE03,MP10,110.0,ug/m3,automatico,2019,9,26,11,,2019-09-26 11:00:00
2019-10-04,2019-10-04,13:00:00,UM Alto Alegre - Móvel,CE03,MP10,110.0,ug/m3,automatico,2019,10,4,13,,2019-10-04 13:00:00
